Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
Diversity Fund,San Diego,College of Arts and Sciences,Endowment,8712,11/21/2010,French,1170,CA
University Libraries,San Diego,College of Arts and Sciences,Campus Resource,3885,1/10/2013,French,1170,CA
University Annual Fund,Orlando,College of Agriculture and Natural Resources,Endowment,8939,1/13/2010,Fisheries and Wildlife,1171,FL
Alumni Association,Orlando,College of Agriculture and Natural Resources,Campus Resource,9864,6/7/2013,Fisheries and Wildlife,1171,FL
Honors Program,Nashville,College of Education,Campus Resource,554,9/7/2010,Education,1172,TN
Honors Program,Nashville,College of Education,Campus Resource,3478,11/26/2013,Education,1172,TN
College of Arts and Sciences,Denver,College of Natural Science,Scholarship,12888,7/17/2010,Preoptometry,1173,CO
College of Social Science,Denver,College of Natural Science,Scholarship,4096.5,6/19/2013,Preoptometry,1173,CO
Trustees Fund,Cincinnati,College of Communication Arts and Sciences,Endowment,1778,11/26/2010,Journalism,1174,OH
Faculty Chair Endowments,Cincinnati,College of Communication Arts and Sciences,Endowment,4988,8/12/2013,Journalism,1174,OH
Faculty Chair Endowments,Los Angeles,College of Arts and Sciences,Endowment,8893,11/26/2010,Arabic,1175,CA
University Annual Fund,Los Angeles,College of Arts and Sciences,Endowment,9804,3/30/2013,Arabic,1175,CA
Trustees Fund,Atlanta,College of Political Science,Endowment,5188,10/4/2010,College of Political Science,1176,GA
College of Arts and Sciences,Atlanta,College of Political Science,Scholarship,2963,5/16/2013,College of Political Science,1176,GA
Alumni Association,New York,College of Education,Campus Resource,4743,8/24/2010,Education,1177,NY
Minority Scholarship Fund,New York,College of Education,Scholarship,3392,8/27/2013,Education,1177,NY
College of Political Science,Denver,College of Political Science,Scholarship,4168.5,4/7/2010,Social Relations and Policy,1178,CO
College of Political Science,Denver,College of Political Science,Scholarship,5689.5,5/11/2013,Social Relations and Policy,1178,CO
College of Natural Science,Memphis,College of Social Science,Scholarship,7391,5/7/2010,Public Policy,1179,TN
Diversity Fund,Memphis,College of Social Science,Endowment,2952,6/22/2013,Public Policy,1179,TN
Diversity Fund,Raleigh,College of Natural Science,Endowment,1620,7/25/2010,Biochemistry and Molecular Biology,1180,NC
College of Communication Arts and Sciences,Raleigh,College of Natural Science,Scholarship,2872,11/12/2013,Biochemistry and Molecular Biology,1180,NC
College of Communication Arts and Sciences,Memphis,College of Business,Scholarship,9783,8/14/2010,Supply Chain Management,1181,TN
College of Natural Science,Memphis,College of Business,Scholarship,2022,3/27/2013,Supply Chain Management,1181,TN
Campus Museums,Los Angeles,College of Social Science,Campus Resource,3804,3/21/2010,Economics,1182,CA
College of Agriculture and Natural Resources,Los Angeles,College of Social Science,Scholarship,173,2/27/2013,Economics,1182,CA
College of Agriculture and Natural Resources,San Diego,College of Arts and Sciences,Scholarship,4948,9/22/2010,Arabic,1183,CA
College of Social Science,San Diego,College of Arts and Sciences,Scholarship,681,2/16/2013,Arabic,1183,CA
Trustees Fund,Grand Rapids,College of Music,Endowment,5040,8/9/2010,Jazz Studies,1184,MI
University Libraries,Grand Rapids,College of Music,Campus Resource,6862,4/28/2013,Jazz Studies,1184,MI
University Annual Fund,Houston,College of Natural Science,Endowment,9725,11/1/2010,Plant Biology,1185,TX
Trustees Fund,Houston,College of Natural Science,Endowment,784,3/6/2013,Plant Biology,1185,TX
Diversity Fund,San Antonio,College of Business,Endowment,5550,10/23/2010,Human Resource Management,1186,TX
Parents Association,San Antonio,College of Business,Campus Resource,5619,8/5/2013,Human Resource Management,1186,TX
Campus Museums,Denver,College of Nursing,Campus Resource,696,4/6/2010,Nursing,1187,CO
Faculty Chair Endowments,Denver,College of Nursing,Endowment,8529,5/25/2013,Nursing,1187,CO
College of Arts and Sciences,Los Angeles,College of Arts and Sciences,Scholarship,1198,6/12/2010,Art Education,1188,CA
Faculty Chair Endowments,Los Angeles,College of Arts and Sciences,Endowment,373,4/26/2013,Art Education,1188,CA
College of Arts and Sciences,Denver,College of Social Science,Scholarship,6027,10/18/2010,Geography,1189,CO
Campus Museums,Denver,College of Social Science,Campus Resource,10927.5,11/15/2013,Geography,1189,CO
Honors Program,Miami,College of Engineering,Campus Resource,9717,3/16/2010,Computer Science,1190,FL
University Annual Fund,Miami,College of Engineering,Endowment,2209,12/30/2013,Computer Science,1190,FL
Campus Recreation,Wichita,College of Natural Science,Campus Resource,4240,6/18/2010,Plant Biology,1191,KS
Athletics,Wichita,College of Natural Science,Campus Resource,8877,5/6/2013,Plant Biology,1191,KS
College of Arts and Sciences,Cleveland,College of Political Science,Scholarship,600,11/17/2010,College of Political Science,1192,OH
College of Music,Cleveland,College of Political Science,Scholarship,6757,11/9/2013,College of Political Science,1192,OH
College of Agriculture and Natural Resources,Oklahoma City,College of Social Science,Scholarship,2414,6/12/2010,Political Science-Prelaw,1193,OK
College of Natural Science,Oklahoma City,College of Social Science,Scholarship,2585,2/26/2013,Political Science-Prelaw,1193,OK
University Libraries,Denver,College of Arts and Sciences,Campus Resource,1657.5,12/30/2010,Japanese,1194,CO
Campus Recreation,Louisville,College of Arts and Sciences,Campus Resource,5794,4/28/2010,Professional Writing,1195,KY
College of Nursing,Hartford,College of Arts and Sciences,Scholarship,9908,3/17/2010,Interdisciplinary Humanities,1196,CT
College of Nursing,Cincinnati,College of Music,Scholarship,6334,11/14/2010,Composition,1197,OH
Parents Association,Detroit,College of Natural Science,Campus Resource,3648,11/22/2010,Actuarial Science,1198,MI
College of Natural Science,Oklahoma City,College of Agriculture and Natural Resources,Scholarship,6330,12/15/2010,Construction Management,1199,OK
College of Communication Arts and Sciences,Philadelphia,College of Communication Arts and Sciences,Scholarship,5818,12/27/2010,Media and Information,1200,PA
College of Social Science,Omaha,College of Agriculture and Natural Resources,Scholarship,7188,10/12/2010,Packaging,1201,NE
College of Social Science,Omaha,College of Agriculture and Natural Resources,Scholarship,888,5/25/2013,Packaging,1201,NE
College of Social Science,San Diego,College of Social Science,Scholarship,7547,1/29/2010,Social Work,1202,CA
Diversity Fund,San Diego,College of Social Science,Endowment,3367,9/13/2013,Social Work,1202,CA
University Annual Fund,Denver,College of Nursing,Endowment,7341,8/25/2010,Summer Research Program,1203,CO
University Annual Fund,Denver,College of Nursing,Endowment,9774,8/30/2013,Summer Research Program,1203,CO
Parents Association,Seattle,College of Natural Science,Campus Resource,2646,4/27/2010,Predental,1204,WA
College of Natural Science,Seattle,College of Natural Science,Scholarship,1793,4/22/2013,Predental,1204,WA
Parents Association,Salt Lake City,College of Business,Campus Resource,2468,10/2/2010,Finance,1205,UT
Parents Association,Salt Lake City,College of Business,Campus Resource,9739,5/7/2013,Finance,1205,UT
College of Social Science,Philadelphia,College of Natural Science,Scholarship,6148,11/8/2010,Predental,1206,PA
College of Agriculture and Natural Resources,Philadelphia,College of Natural Science,Scholarship,2873,9/10/2013,Predental,1206,PA
College of Natural Science,El Paso,College of Natural Science,Scholarship,7315,12/1/2010,Physical Science Interdepartmental,1207,TX
University Libraries,El Paso,College of Natural Science,Campus Resource,8257,2/20/2013,Physical Science Interdepartmental,1207,TX
College of Arts and Sciences,Phoenix,College of Arts and Sciences,Scholarship,4217,6/19/2010,Arts & Letters-General,1208,AZ
Faculty Chair Endowments,Phoenix,College of Arts and Sciences,Endowment,3071,7/13/2013,Arts & Letters-General,1208,AZ
University Annual Fund,New York,College of Business,Endowment,4745,4/21/2010,Supply Chain Management,1209,NY
Campus Museums,New York,College of Business,Campus Resource,5288,4/5/2013,Supply Chain Management,1209,NY
College of Arts and Sciences,Cleveland,College of Business,Scholarship,1001,5/3/2010,General Management,1210,OH
University Annual Fund,Cleveland,College of Business,Endowment,6146,3/8/2013,General Management,1210,OH
University Annual Fund,Lincoln,College of Engineering,Endowment,8078,4/10/2010,Materials Science and Engineering,1211,NE
Athletics,Lincoln,College of Engineering,Campus Resource,6371,8/11/2013,Materials Science and Engineering,1211,NE
Faculty Chair Endowments,San Diego,College of Veterinary Medicine,Endowment,3496,10/21/2010,Preveterinary,1212,CA
Diversity Fund,San Diego,College of Veterinary Medicine,Endowment,6451,5/18/2013,Preveterinary,1212,CA
Minority Scholarship Fund,Oklahoma City,College of Natural Science,Scholarship,8960,2/5/2010,Actuarial Science,1213,OK
College of Social Science,Oklahoma City,College of Natural Science,Scholarship,6301,5/22/2013,Actuarial Science,1213,OK
Diversity Fund,Chicago,College of Nursing,Endowment,1858,8/15/2010,Prenursing,1214,IL
In-State Scholarship Fund,Chicago,College of Nursing,Scholarship,5634,11/22/2013,Prenursing,1214,IL
College of Arts and Sciences,Savannah,College of Veterinary Medicine,Scholarship,7219,9/21/2010,Preveterinary,1215,GA
College of Arts and Sciences,Savannah,College of Veterinary Medicine,Scholarship,7575,2/4/2013,Preveterinary,1215,GA
College of Arts and Sciences,New York,College of Agriculture and Natural Resources,Scholarship,9640,4/11/2010,Construction Management,1216,NY
Minority Scholarship Fund,New York,College of Agriculture and Natural Resources,Scholarship,2015,2/16/2013,Construction Management,1216,NY
Faculty Chair Endowments,Minneapolis,College of Social Science,Endowment,9532,11/10/2010,Political Science,1217,MN
Trustees Fund,Minneapolis,College of Social Science,Endowment,2587,5/1/2013,Political Science,1217,MN
University Annual Fund,Denver,College of Education,Endowment,7663.5,7/30/2010,Kinesiology,1218,CO
Campus Museums,Denver,College of Education,Campus Resource,10689,7/10/2013,Kinesiology,1218,CO
Campus Museums,Murfreesboro,College of Arts and Sciences,Campus Resource,7242,9/28/2010,Japanese,1219,TN
College of Agriculture and Natural Resources,Murfreesboro,College of Arts and Sciences,Scholarship,8199,5/22/2013,Japanese,1219,TN
College of Engineering,Miami,College of Agriculture and Natural Resources,Scholarship,1864,3/1/2010,Construction Management,1220,FL
Trustees Fund,Miami,College of Agriculture and Natural Resources,Endowment,8561,9/9/2013,Construction Management,1220,FL
Diversity Fund,Lansing,College of Social Science,Endowment,999,6/29/2010,History Education,1221,MI
College of Arts and Sciences,Lansing,College of Social Science,Scholarship,313,11/7/2013,History Education,1221,MI
University Annual Fund,Denver,College of Education,Endowment,13920,6/29/2010,Athletic Training,1222,CO
College of Education,Denver,College of Education,Scholarship,6357,8/7/2013,Athletic Training,1222,CO
College of Agriculture and Natural Resources,Los Angeles,College of Social Science,Scholarship,8898,1/5/2010,Political Science-Prelaw,1223,CA
College of Political Science,Los Angeles,College of Social Science,Scholarship,4821,3/27/2013,Political Science-Prelaw,1223,CA
Trustees Fund,New York,College of Natural Science,Endowment,2639,1/13/2010,Chemistry,1224,NY
University Annual Fund,New York,College of Natural Science,Endowment,8906,4/5/2013,Chemistry,1224,NY
University Libraries,Lincoln,College of Social Science,Campus Resource,3885,7/3/2010,Human Development and Family Studies,1225,NE
In-State Scholarship Fund,Lincoln,College of Social Science,Scholarship,267,2/21/2013,Human Development and Family Studies,1225,NE
College of Social Science,Salt Lake City,College of Natural Science,Scholarship,9864,2/17/2010,Mathematics,1226,UT
College of Agriculture and Natural Resources,Salt Lake City,College of Natural Science,Scholarship,7019,9/11/2013,Mathematics,1226,UT
University Annual Fund,Madison,College of Music,Endowment,9434,6/3/2010,Composition,1227,WI
College of Agriculture and Natural Resources,Washington,College of Natural Science,Scholarship,9314,9/6/2010,Geological Sciences,1228,DC
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,1553,3/12/2010,Environmental Economics and Policy,1229,IL
University Annual Fund,Denver,College of Engineering,Endowment,11659.5,9/17/2010,Applied Engineering Sciences,1230,CO
Parents Association,Lexington,College of Business,Campus Resource,2639,8/13/2010,Accounting,1231,KY
Faculty Chair Endowments,Indianapolis,College of Arts and Sciences,Endowment,3263,6/11/2010,Russian,1232,IN
Athletics,New Orleans,College of Business,Campus Resource,3670,12/10/2010,Human Resource Management,1233,LA
University Annual Fund,Cedar Rapids,College of Natural Science,Endowment,6171,7/10/2010,Earth Science Interdepartmental,1234,IA
Honors Program,Lexington,College of Arts and Sciences,Campus Resource,6656,5/3/2010,Japanese,1235,KY
College of Natural Science,Denver,College of Social Science,Scholarship,13669.5,6/26/2010,World Politics,1236,CO
College of Natural Science,Miami,College of Business,Scholarship,7843,11/7/2010,Accounting,1237,FL
College of Natural Science,Memphis,College of Engineering,Scholarship,9395,5/18/2010,Applied Engineering Sciences,1238,TN
College of Natural Science,Durham,College of Business,Scholarship,3135,12/8/2010,Human Resource Management,1239,NC
College of Natural Science,Mobile,College of Engineering,Scholarship,3478,7/25/2010,Materials Science and Engineering,1240,AL
Trustees Fund,Mobile,College of Engineering,Endowment,2524,10/4/2013,Materials Science and Engineering,1240,AL
Honors Program,Lincoln,College of Natural Science,Campus Resource,2731,5/28/2010,Physical Science Interdepartmental,1241,NE
